Nome: PARANAIBA
Codigo Estacao: 83565
Latitude: -19.66361111
Longitude: -51.19138888
Altitude: 429.62
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.172043;266.1;33.103226;null;null;75.129032;3;.824731;-19.66361111;-51.19138888;429.62
2020-02-29;8.37931;173;32.482759;null;null;80.12931;3;.873563;-19.66361111;-51.19138888;429.62
2020-03-31;4.913978;100;33.587097;null;null;69.387097;3;.967742;-19.66361111;-51.19138888;429.62
2020-04-30;3.433333;22.4;32.573333;null;null;65.891667;3;.788889;-19.66361111;-51.19138888;429.62
2020-05-31;3.645161;11;29.541935;null;null;67.556452;3;.688172;-19.66361111;-51.19138888;429.62
2020-06-30;4.566667;7.4;30.713333;null;null;61.033333;4;.844444;-19.66361111;-51.19138888;429.62
2020-07-31;2.225806;.4;30.987097;null;null;52.193548;3;1.021505;-19.66361111;-51.19138888;429.62
2020-08-31;2.989247;2.4;32.174194;null;null;45.129032;5;1.215054;-19.66361111;-51.19138888;429.62
2020-09-30;3.8;1;37.02;null;null;36.158333;4;1.133333;-19.66361111;-51.19138888;429.62
2020-10-31;6.053763;74;37.791304;null;null;52.830645;3;1;-19.66361111;-51.19138888;429.62
2020-11-30;4.422222;65.6;34.317241;27.761379;21.816667;52.475;4;1.077778;-19.66361111;-51.19138888;429.62
2020-12-31;7.935484;135.6;33.490323;26.636129;22.732258;73.814516;7.4;1.03902;-19.66361111;-51.19138888;429.62

