Nome: ARAXA
Codigo Estacao: 83579
Latitude: -19.60555555
Longitude: -46.94972221
Altitude: 1018.28
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,688172;296,6;null;null;19,729032;80,620968;null;null;-19.60555555;-46.94972221;1018.28
2020-02-29;8,37931;468;null;null;18,986207;85,974138;null;null;-19.60555555;-46.94972221;1018.28
2020-03-31;7,016129;205,8;null;null;18,664516;76,112903;null;null;-19.60555555;-46.94972221;1018.28
2020-04-30;5,25;29,2;null;null;18,026667;73,591667;null;null;-19.60555555;-46.94972221;1018.28
2020-05-31;null;null;null;null;null;null;null;null;-19.60555555;-46.94972221;1018.28
2020-06-30;4,097222;3;null;null;15,28;68,233333;null;null;-19.60555555;-46.94972221;1018.28
2020-07-31;3,166667;0;null;null;15,019355;58,895161;null;null;-19.60555555;-46.94972221;1018.28
2020-08-31;3,553763;2,4;null;null;14,864516;53,443548;null;null;-19.60555555;-46.94972221;1018.28
2020-09-30;2,477778;11,4;null;null;18,766667;45,425;null;null;-19.60555555;-46.94972221;1018.28
2020-10-31;5,586022;89,4;null;null;19,953333;64,612903;null;null;-19.60555555;-46.94972221;1018.28
2020-11-30;null;null;null;null;null;null;null;null;-19.60555555;-46.94972221;1018.28
2020-12-31;7,438172;256,6;null;null;19,151613;81,774194;null;null;-19.60555555;-46.94972221;1018.28

