Nome: BELO HORIZONTE
Codigo Estacao: 83587
Latitude: -19.93444444
Longitude: -43.95222222
Altitude: 915.47
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.494624;934.7;29.516129;24.048387;19.687097;74.233871;2.8;1.078495;-19.93444444;-43.95222222;915.47
2020-02-29;7.804598;391.8;28.475862;23.444138;19.055172;73.810345;3.3;1.143678;-19.93444444;-43.95222222;915.47
2020-03-31;6.247312;296.8;27.393548;22.401333;18.083871;70.282258;2.6;1.063441;-19.93444444;-43.95222222;915.47
2020-04-30;5.988889;97.5;27.18;21.917333;17.45;69.325;3.3;1.107778;-19.93444444;-43.95222222;915.47
2020-05-31;null;null;null;null;null;null;null;null;-19.93444444;-43.95222222;915.47
2020-06-30;3.444444;.8;25.773333;20.278;15.866667;60.366667;2.5722;1.150978;-19.93444444;-43.95222222;915.47
2020-07-31;3.008065;5.3;25.919355;20.252258;15.941935;59.822581;3.08664;1.224434;-19.93444444;-43.95222222;915.47
2020-08-31;3.043011;11.5;25.541935;19.698065;15.074194;57.209677;3.08664;1.422234;-19.93444444;-43.95222222;915.47
2020-09-30;2.277778;11.6;30.52;23.996667;18.686667;45.766667;2.05776;1.254816;-19.93444444;-43.95222222;915.47
2020-10-31;6.370968;123;29.164516;23.472;19.276667;63.475806;3.60108;1.297468;-19.93444444;-43.95222222;915.47
2020-11-30;null;null;null;null;null;null;null;null;-19.93444444;-43.95222222;915.47
2020-12-31;7.043011;278.1;28.803226;23.740645;19.609677;67.733871;3.5;1.098925;-19.93444444;-43.95222222;915.47

