Nome: C. DO MATO DENTRO
Codigo Estacao: 83589
Latitude: -19.020355
Longitude: -43.433948
Altitude: 663.02
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.473118;476.6;31.4;24.845806;20.022581;79.427419;null;null;-19.020355;-43.433948;663.02
2020-02-29;7.321839;193.4;30.393103;24.095862;19.817241;80.905172;null;null;-19.020355;-43.433948;663.02
2020-03-31;7.225806;307.3;28.077419;22.662759;18.880645;83.58871;null;null;-19.020355;-43.433948;663.02
2020-04-30;7.527778;42.8;28.32;22.196;18.346667;82.175;null;null;-19.020355;-43.433948;663.02
2020-05-31;null;null;null;null;null;null;null;null;-19.020355;-43.433948;663.02
2020-06-30;4.747191;6.4;26.756667;17.924667;12.003333;81.316667;null;null;-19.020355;-43.433948;663.02
2020-07-31;4.873596;8.4;26.76;17.933333;12.187097;79.841667;null;null;-19.020355;-43.433948;663.02
2020-08-31;4.827957;8.7;26.529032;17.890323;11.158065;76.104839;null;null;-19.020355;-43.433948;663.02
2020-09-30;2.902778;3.8;30.806667;21.154;12.466667;64.4;null;null;-19.020355;-43.433948;663.02
2020-10-31;6.416667;235.9;29.464516;22.898667;17.756667;75.177419;null;null;-19.020355;-43.433948;663.02
2020-11-30;null;null;null;null;null;null;null;null;-19.020355;-43.433948;663.02
2020-12-31;6.989247;197;30.522581;23.702581;18.690323;79.024194;null;null;-19.020355;-43.433948;663.02

