Nome: CARATINGA
Codigo Estacao: 83592
Latitude: -19.73583333
Longitude: -42.13722221
Altitude: 609.56
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.806452;374.6;30.470968;24.678065;20.583871;79.991935;4;1.874194;-19.73583333;-42.13722221;609.56
2020-02-29;7.206897;172.3;30.131034;24.184138;20.186207;81.913793;4;1.781609;-19.73583333;-42.13722221;609.56
2020-03-31;7.569892;204.9;28.441935;22.706667;18.777419;84.274194;3;1.311828;-19.73583333;-42.13722221;609.56
2020-04-30;7.416667;107.7;27.87;22.028;17.876667;82.783333;5.1444;1.469012;-19.73583333;-42.13722221;609.56
2020-05-31;null;null;null;null;null;null;null;null;-19.73583333;-42.13722221;609.56
2020-06-30;4.736111;7.1;26.426667;18.635333;13.02;81.966667;4.11552;1.240051;-19.73583333;-42.13722221;609.56
2020-07-31;5.067204;13.7;26.122581;18.790968;13.609677;79.895161;4.11552;1.520883;-19.73583333;-42.13722221;609.56
2020-08-31;4.975806;18.5;26.077419;18.843226;13.764516;74.532258;5.1444;1.61461;-19.73583333;-42.13722221;609.56
2020-09-30;3.966667;3.4;30.603333;22.246667;15.743333;65.158333;4.11552;2.15429;-19.73583333;-42.13722221;609.56
2020-10-31;7.580645;129.8;28.919355;23.084;18.886667;75.693548;6.17328;1.92438;-19.73583333;-42.13722221;609.56
2020-11-30;null;null;null;null;null;null;null;null;-19.73583333;-42.13722221;609.56
2020-12-31;7.486559;207.8;29.880645;23.836774;19.658065;79.08871;4.11552;1.687142;-19.73583333;-42.13722221;609.56

