Nome: VOTUPORANGA
Codigo Estacao: 83623
Latitude: -20.43972221
Longitude: -49.9836111
Altitude: 510.41
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.62963;255.7;32.888889;25.818519;18.807407;null;null;null;-20.43972221;-49.9836111;510.41
2020-02-29;8.6;215.2;31.04;24.596;18.04;null;null;null;-20.43972221;-49.9836111;510.41
2020-03-31;4.230769;69;32.976923;25.208462;17.115385;null;null;null;-20.43972221;-49.9836111;510.41
2020-04-30;3.538462;38.4;31.704;23.826087;15.524;null;null;null;-20.43972221;-49.9836111;510.41
2020-05-31;5.037736;21.2;28.968;21.44;13.576923;null;null;null;-20.43972221;-49.9836111;510.41
2020-06-30;4.607843;3.2;30.246154;22.7304;15.853846;null;null;null;-20.43972221;-49.9836111;510.41
2020-07-31;3.777778;0;30.77037;22.593333;15.251852;null;null;null;-20.43972221;-49.9836111;510.41
2020-08-31;4.45283;5;31.77037;23.496154;16.134615;null;null;null;-20.43972221;-49.9836111;510.41
2020-09-30;3.461538;1.1;36.8;28.172308;19.607692;null;null;null;-20.43972221;-49.9836111;510.41
2020-10-31;7.444444;58.9;35.503704;27.319259;19.162963;null;null;null;-20.43972221;-49.9836111;510.41
2020-11-30;4.44;63.8;34.184;26.132;17.792;null;null;null;-20.43972221;-49.9836111;510.41
2020-12-31;7.518519;166.9;33.103704;25.283704;18.133333;null;null;null;-20.43972221;-49.9836111;510.41

