Nome: FRANCA
Codigo Estacao: 83630
Latitude: -20.584314
Longitude: -47.382427
Altitude: 1003.55
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.561828;430.6;28.741935;23.181935;19.541935;79.766129;5;2.129653;-20.584314;-47.382427;1003.55
2020-02-29;7.626437;352.3;27.524138;22.346897;19.451724;84.801724;6;2.747126;-20.584314;-47.382427;1003.55
2020-03-31;4.774194;97.9;28.267742;22.614839;18.422581;72.701613;5;2.462366;-20.584314;-47.382427;1003.55
2020-04-30;3.211111;27.5;27.483333;21.658667;17.59;69.991667;5;2.077778;-20.584314;-47.382427;1003.55
2020-05-31;2.88172;34;24.919355;18.558065;14.164516;65.201613;5;1.937634;-20.584314;-47.382427;1003.55
2020-06-30;3.422222;.8;26.096667;20.15;16.14;62.741667;7;2.708616;-20.584314;-47.382427;1003.55
2020-07-31;1.924731;0;26.790323;20.390968;15.7;53.427419;7;2.709677;-20.584314;-47.382427;1003.55
2020-08-31;2.11828;5.6;27.341935;20.420645;15.341935;49.612903;6;2.870968;-20.584314;-47.382427;1003.55
2020-09-30;2.711111;1.1;31.566667;25.075333;20.073333;40.166667;5;2.811111;-20.584314;-47.382427;1003.55
2020-10-31;5.494624;127.4;30.7;24.305806;19.690323;60.467742;7;2.784946;-20.584314;-47.382427;1003.55
2020-11-30;3.977778;113.9;29.356667;23.048;18.196667;60.175;5;2.844444;-20.584314;-47.382427;1003.55
2020-12-31;7.88172;285.5;28.212903;22.564516;18.912903;80.798387;6;2.236559;-20.584314;-47.382427;1003.55

