Nome: DIVINOPOLIS
Codigo Estacao: 83635
Latitude: -20.173283
Longitude: -44.874742
Altitude: 787.42
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8,836364;311,7;30,825926;24,507407;20,851852;null;5;2,563636;-20.173283;-44.874742;787.42
2020-02-29;8,862069;323,1;29,796552;23,735862;19,917241;77,741379;7;2,195402;-20.173283;-44.874742;787.42
2020-03-31;6,88172;110,4;29,33871;22,942;18,216129;73,508065;4;2,107527;-20.173283;-44.874742;787.42
2020-04-30;5,986111;63,8;28,673333;21,842;16,7;73,725;4,11552;2,252104;-20.173283;-44.874742;787.42
2020-05-31;null;null;null;null;null;null;null;null;-20.173283;-44.874742;787.42
2020-06-30;4,444444;0;26,99;18,596;11,736667;71,016667;5,1444;2,069192;-20.173283;-44.874742;787.42
2020-07-31;3,158602;0;27,964516;19,236129;11,496774;61,814516;5,1444;2,30084;-20.173283;-44.874742;787.42
2020-08-31;3,198925;11,9;27,635484;19,39871;11,354839;56,08871;7,20216;2,642558;-20.173283;-44.874742;787.42
2020-09-30;2,5;13;32,2;23,594667;14,56;45,683333;5,1444;2,251141;-20.173283;-44.874742;787.42
2020-10-31;7,284946;98,1;31,187097;24,222069;18,76;62,580645;6,17328;2,64349;-20.173283;-44.874742;787.42
2020-11-30;null;null;null;null;null;null;null;null;-20.173283;-44.874742;787.42
2020-12-31;8,930108;200,4;30,277419;24,016129;19,522581;72,782258;5,1444;2,317125;-20.173283;-44.874742;787.42

