Nome: CAPARAO
Codigo Estacao: 83639
Latitude: -20.526119
Longitude: -41.90913
Altitude: 836.25
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.946237;514.4;null;null;19.503226;82.459677;2.6;.611828;-20.526119;-41.90913;836.25
2020-02-29;7.666667;336.3;null;null;19.110345;81.293103;2.6;.381609;-20.526119;-41.90913;836.25
2020-03-31;7.451613;163.2;null;null;17.412903;82.814516;4.1;.61828;-20.526119;-41.90913;836.25
2020-04-30;6.263889;55.9;null;null;16.266667;82.075;3.60108;.462996;-20.526119;-41.90913;836.25
2020-05-31;null;null;null;null;null;null;null;null;-20.526119;-41.90913;836.25
2020-06-30;3.72191;1.2;null;null;11.7;81.422414;2.5722;.497099;-20.526119;-41.90913;836.25
2020-07-31;4.016129;20.6;null;null;11.903226;80.58871;3.08664;.458052;-20.526119;-41.90913;836.25
2020-08-31;4.021505;26.6;null;null;11.903226;75.556452;4.11552;.763662;-20.526119;-41.90913;836.25
2020-09-30;3.430556;12.2;null;null;14.126667;69.958333;2.5722;.578022;-20.526119;-41.90913;836.25
2020-10-31;7.19086;146.9;null;null;17.54;78.572581;2.5722;.575288;-20.526119;-41.90913;836.25
2020-11-30;null;null;null;null;null;null;null;null;-20.526119;-41.90913;836.25
2020-12-31;7.179348;283.5;null;null;18.606452;80.346774;2.5722;.54799;-20.526119;-41.90913;836.25

