Nome: VITORIA
Codigo Estacao: 83648
Latitude: -20.31583333
Longitude: -40.31694443
Altitude: 36.2
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,268817;268,2;31,541935;27,03871;24,190323;77,943548;null;null;-20.31583333;-40.31694443;36.2
2020-02-29;6,405172;115,1;31,92069;27,417241;24,672414;78,172414;null;null;-20.31583333;-40.31694443;36.2
2020-03-31;6,288462;193;30,306897;26,225714;23,451613;80,439655;null;null;-20.31583333;-40.31694443;36.2
2020-04-30;6,305556;26,8;29,139286;25,14963;22,88;75,591667;null;null;-20.31583333;-40.31694443;36.2
2020-05-31;null;null;null;null;null;null;null;null;-20.31583333;-40.31694443;36.2
2020-06-30;3,944444;77,3;28,833333;23,907143;20,521429;77,95;null;null;-20.31583333;-40.31694443;36.2
2020-07-31;4,925373;91,9;27,362069;23,075556;20,073333;null;null;null;-20.31583333;-40.31694443;36.2
2020-08-31;5,227273;84,1;27,119355;22,636;19,803333;78,288462;null;null;-20.31583333;-40.31694443;36.2
2020-09-30;3,111111;143,7;29,941379;24,958621;21,633333;73,558333;null;null;-20.31583333;-40.31694443;36.2
2020-10-31;7,133152;208,4;28,706667;24,837037;22,353571;80,65;null;null;-20.31583333;-40.31694443;36.2
2020-11-30;null;null;null;null;null;null;null;null;-20.31583333;-40.31694443;36.2
2020-12-31;5,3125;125,2;31,535484;27,172414;24,331034;75,008065;null;null;-20.31583333;-40.31694443;36.2

