Nome: SAO SIMAO
Codigo Estacao: 83669
Latitude: -21.461019
Longitude: -47.579512
Altitude: 620.02
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,182796;380,2;32,009677;25,095484;20,529032;77,129032;2;,537634;-21.461019;-47.579512;620.02
2020-02-29;7;217,5;30,189655;24,252414;20,406897;81,405172;2;,533333;-21.461019;-47.579512;620.02
2020-03-31;3,451613;116,9;31,596774;24,20129;19,225806;70,903226;3;,72043;-21.461019;-47.579512;620.02
2020-04-30;2,411111;14;30,49;22,475333;15,523333;66,6;4;,877778;-21.461019;-47.579512;620.02
2020-05-31;3,064516;8,8;27,748387;18,801935;11,519355;67,306452;3;,709677;-21.461019;-47.579512;620.02
2020-06-30;4,055556;10,3;29,04;20,705333;13,843333;67,491667;4;,922222;-21.461019;-47.579512;620.02
2020-07-31;2,150538;0;29,974194;20,579355;12,103226;57,41129;3;,698925;-21.461019;-47.579512;620.02
2020-08-31;2,376344;1,8;30,067742;21,403226;13,509677;51,427419;3;1,268817;-21.461019;-47.579512;620.02
2020-09-30;2,855556;21,6;34,893333;25,747333;17,01;46,525;3;,677778;-21.461019;-47.579512;620.02
2020-10-31;5,290323;52,4;34,119355;25,796129;18,841935;59,709677;3;,806452;-21.461019;-47.579512;620.02
2020-11-30;3,933333;102,8;33,366667;24,803333;16,906667;60,041667;3;1;-21.461019;-47.579512;620.02
2020-12-31;7,537634;336,5;31,8;24,32;18,464516;78,120968;3,08664;,619114;-21.461019;-47.579512;620.02

