Nome: CATANDUVA
Codigo Estacao: 83676
Latitude: -21.122377
Longitude: -48.947513
Altitude: 570.34
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.37037;277.3;32.107407;25.3016;21.352;null;3;1.685185;-21.122377;-48.947513;570.34
2020-02-29;7;193.8;29.816;24.3368;21.04;null;5;1.6;-21.122377;-48.947513;570.34
2020-03-31;2.173077;103.1;31.996154;24.98;19.838462;null;3;1.653846;-21.122377;-48.947513;570.34
2020-04-30;2.019231;35.7;30.188462;23.1672;17.832;null;3;1.692308;-21.122377;-48.947513;570.34
2020-05-31;2.433962;27.5;27.957692;20.811538;15.553846;null;5;1.811321;-21.122377;-48.947513;570.34
2020-06-30;3.352941;11.6;29.507692;22.217692;17.403846;null;5;2.078431;-21.122377;-48.947513;570.34
2020-07-31;1.574074;.2;29.992593;21.912;16.024;null;5;2.092593;-21.122377;-48.947513;570.34
2020-08-31;1.807692;5.3;30.453846;22.16;15.944;null;5;2.269231;-21.122377;-48.947513;570.34
2020-09-30;2.25;12.7;35.788462;27.0112;20.044;null;5;2.038462;-21.122377;-48.947513;570.34
2020-10-31;4.407407;67;34.933333;26.742308;21.573077;null;3;1.907407;-21.122377;-48.947513;570.34
2020-11-30;2.72;100.6;33.38;25.251818;19.004545;null;3;1.76;-21.122377;-48.947513;570.34
2020-12-31;6.444444;127.2;31.648148;25.062222;20.807407;null;3;1.666667;-21.122377;-48.947513;570.34

