Nome: MACHADO
Codigo Estacao: 83683
Latitude: -21.68138888
Longitude: -45.94083333
Altitude: 892.44
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7,921053;163,8;29,309677;23,087586;19,044828;84,836207;3,1;,971053;-21.68138888;-45.94083333;892.44
2020-02-29;8,24;489,9;27,967857;22,184;19,152;92,52;1,5;,86;-21.68138888;-45.94083333;892.44
2020-03-31;5,61194;125,3;28,767742;21,897857;17;78,973214;2,1;,979104;-21.68138888;-45.94083333;892.44
2020-04-30;4,677083;11,2;27,72963;20,400741;14,792857;79,666667;4,62996;1,028479;-21.68138888;-45.94083333;892.44
2020-05-31;null;null;null;null;null;null;null;null;-21.68138888;-45.94083333;892.44
2020-06-30;4,509804;null;25,296154;17,451538;11,369231;84,153846;1,54332;1,008706;-21.68138888;-45.94083333;892.44
2020-07-31;2,476852;0;26,437037;17,555556;10,32963;75,888889;5,1444;1,123344;-21.68138888;-45.94083333;892.44
2020-08-31;2,629808;null;27,25;17,799231;9,75;70;2,05776;1,028325;-21.68138888;-45.94083333;892.44
2020-09-30;3,173077;null;31,280769;22,412308;14,396154;61,230769;1,54332;1,018432;-21.68138888;-45.94083333;892.44
2020-10-31;6,449074;72,2;30,722222;22,995385;17,680769;73,666667;2,05776;1,028613;-21.68138888;-45.94083333;892.44
2020-11-30;null;null;null;null;null;null;null;null;-21.68138888;-45.94083333;892.44
2020-12-31;8,49537;447,9;29,025926;22,715556;18,614815;87,148148;1,54332;,933079;-21.68138888;-45.94083333;892.44

