Nome: LAVRAS
Codigo Estacao: 83687
Latitude: -21.2261111
Longitude: -44.97972221
Altitude: 916.19
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8.804348;null;null;null;19.442105;null;3;.76087;-21.2261111;-44.97972221;916.19
2020-02-29;null;null;null;null;19.09375;null;3;null;-21.2261111;-44.97972221;916.19
2020-03-31;null;null;null;null;18.176471;null;4;null;-21.2261111;-44.97972221;916.19
2020-04-30;null;null;null;null;17.533333;null;4.11552;null;-21.2261111;-44.97972221;916.19
2020-05-31;null;null;null;null;null;null;null;null;-21.2261111;-44.97972221;916.19
2020-06-30;5.258621;2.5;25.15;18.170667;13.063333;73.066667;5.1444;1.352573;-21.2261111;-44.97972221;916.19
2020-07-31;3.475275;0;26.158065;18.457419;12.935484;65.620968;5.1444;1.603547;-21.2261111;-44.97972221;916.19
2020-08-31;3.137097;14.1;26.216129;18.390323;12.277419;60.927419;5.1444;2.266719;-21.2261111;-44.97972221;916.19
2020-09-30;3.888889;30.4;30.596667;22.58;15.836667;52.066667;4.11552;1.771639;-21.2261111;-44.97972221;916.19
2020-10-31;7.311828;32;29.948387;22.926667;17.92;64.693548;6.17328;2.100771;-21.2261111;-44.97972221;916.19
2020-11-30;null;null;null;null;null;null;null;null;-21.2261111;-44.97972221;916.19
2020-12-31;8.583333;307.7;28.440741;22.882963;19.012903;77.351852;4.11552;1.245767;-21.2261111;-44.97972221;916.19

