Nome: JUIZ DE FORA
Codigo Estacao: 83692
Latitude: -21.76999999
Longitude: -43.36444444
Altitude: 936.9
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8,11828;373,7;27,609677;21,827097;18,574194;88,080645;5;2,078495;-21.76999999;-43.36444444;936.9
2020-02-29;8,298851;345,5;26,544828;21,312414;18,362069;87,922414;7;2,045977;-21.76999999;-43.36444444;936.9
2020-03-31;7,043478;175,6;25,748387;20,384516;17,087097;84,05;5;2,271739;-21.76999999;-43.36444444;936.9
2020-04-30;5,574324;50,6;23,996667;18,860667;15,77;85,637931;6,17328;2,161804;-21.76999999;-43.36444444;936.9
2020-05-31;null;null;null;null;null;null;null;null;-21.76999999;-43.36444444;936.9
2020-06-30;4,680233;12,5;23,763333;18,373793;14,88;78,108333;5,1444;2,17208;-21.76999999;-43.36444444;936.9
2020-07-31;4,047059;,6;23,454839;17,707097;14,116129;78,346774;6,17328;2,349693;-21.76999999;-43.36444444;936.9
2020-08-31;3,462644;15,1;23,612903;17,391613;13,4;75,193548;7,20216;2,831254;-21.76999999;-43.36444444;936.9
2020-09-30;3,41954;28;28,78;21,783333;16,883333;66,441667;7,20216;2,582348;-21.76999999;-43.36444444;936.9
2020-10-31;6,355422;89,9;26,087097;20,37;17,096667;80,467742;9,25992;2,588484;-21.76999999;-43.36444444;936.9
2020-11-30;null;null;null;null;null;null;null;null;-21.76999999;-43.36444444;936.9
2020-12-31;6,75;362,9;27,206452;21,893548;18,703226;86,83871;8,23104;1,96735;-21.76999999;-43.36444444;936.9

