Nome: ITAPERUNA
Codigo Estacao: 83695
Latitude: -21.20444444
Longitude: -41.90555555
Altitude: 123.6
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.919355;322.9;32.251613;26.657419;22.945161;null;null;null;-21.20444444;-41.90555555;123.6
2020-02-29;6.224138;352.2;32.010345;26.301379;22.772414;null;null;null;-21.20444444;-41.90555555;123.6
2020-03-31;null;null;30.657895;25.312632;21.76;null;null;null;-21.20444444;-41.90555555;123.6
2020-04-30;4.605263;39.4;29.082759;23.578519;19.935714;null;null;null;-21.20444444;-41.90555555;123.6
2020-05-31;null;null;null;null;null;null;null;null;-21.20444444;-41.90555555;123.6
2020-06-30;2.791667;2.8;28.926667;21.435333;16.296667;null;null;null;-21.20444444;-41.90555555;123.6
2020-07-31;2.560484;8.6;28.812903;21.520645;16.480645;null;null;null;-21.20444444;-41.90555555;123.6
2020-08-31;2.278226;24.3;29.112903;21.852903;16.293548;null;null;null;-21.20444444;-41.90555555;123.6
2020-09-30;3.145833;37.3;32.823333;24.955333;19.293333;null;null;null;-21.20444444;-41.90555555;123.6
2020-10-31;6.209016;144.4;30.97;25.000667;20.993548;null;null;null;-21.20444444;-41.90555555;123.6
2020-11-30;null;null;null;null;null;null;null;null;-21.20444444;-41.90555555;123.6
2020-12-31;5.020161;187.9;32.816129;26.439355;22.354839;null;null;null;-21.20444444;-41.90555555;123.6

