Nome: CAMPOS
Codigo Estacao: 83698
Latitude: -21.74249999
Longitude: -41.33277777
Altitude: 11.2
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,387097;185,4;32,135484;26,916129;23,696774;null;1,6;,335484;-21.74249999;-41.33277777;11.2
2020-02-29;6,698276;166,4;30,931034;26,509655;23,686207;null;1,54332;,26609;-21.74249999;-41.33277777;11.2
2020-03-31;5,708333;158,2;30,589286;25,670714;22,358065;null;1,54332;,209264;-21.74249999;-41.33277777;11.2
2020-04-30;null;null;null;null;null;null;null;null;-21.74249999;-41.33277777;11.2
2020-05-31;null;null;null;null;null;null;null;null;-21.74249999;-41.33277777;11.2
2020-06-30;3,354167;6,6;28,72;22,966;18,843333;null;2,05776;,960288;-21.74249999;-41.33277777;11.2
2020-07-31;2,943548;24,1;27,623333;22,237143;18,4;null;1,54332;,821445;-21.74249999;-41.33277777;11.2
2020-08-31;2,782258;38,9;27,712903;22,163333;17,945161;null;2,05776;,680388;-21.74249999;-41.33277777;11.2
2020-09-30;3,25;64,8;30,376667;24,347857;20,432143;null;1,54332;1,080324;-21.74249999;-41.33277777;11.2
2020-10-31;6,927966;152,6;29,606897;24,949565;22,064;null;1,54332;,732423;-21.74249999;-41.33277777;11.2
2020-11-30;null;null;null;null;null;null;null;null;-21.74249999;-41.33277777;11.2
2020-12-31;4,596774;141,9;31,706667;26,323571;23,103333;null;1,54332;,745938;-21.74249999;-41.33277777;11.2

