Nome: CORDEIRO
Codigo Estacao: 83718
Latitude: -22.02222221
Longitude: -42.36444444
Altitude: 505.9
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;null;null;null;null;null;null;null;null;-22.02222221;-42.36444444;505.9
2020-02-29;8,982759;156,8;28,717241;23,837931;20,610345;null;0;0;-22.02222221;-42.36444444;505.9
2020-03-31;8,368644;207,9;28,155556;22,4952;18,406452;null;0;0;-22.02222221;-42.36444444;505.9
2020-04-30;8,728814;64,2;25,837931;20,40069;16,81;null;0;0;-22.02222221;-42.36444444;505.9
2020-05-31;null;null;null;null;null;null;null;null;-22.02222221;-42.36444444;505.9
2020-06-30;7,987288;3,4;25,703333;18,531724;14,062069;null;0;0;-22.02222221;-42.36444444;505.9
2020-07-31;8,28629;8,6;25,16;18,404667;14,132258;null;0;0;-22.02222221;-42.36444444;505.9
2020-08-31;8,024194;9,7;25,709677;18,187692;12,976923;null;0;0;-22.02222221;-42.36444444;505.9
2020-09-30;7,541667;56;30,233333;22,138667;15,993333;null;0;0;-22.02222221;-42.36444444;505.9
2020-10-31;8,608871;93,9;28,56129;22,755172;18,455172;null;0;0;-22.02222221;-42.36444444;505.9
2020-11-30;null;null;null;null;null;null;null;null;-22.02222221;-42.36444444;505.9
2020-12-31;8,064516;312,5;29,725806;23,993793;20,145161;null;7,20216;,215733;-22.02222221;-42.36444444;505.9

