Nome: SAO LOURENCO
Codigo Estacao: 83736
Latitude: -22.126273
Longitude: -45.043327
Altitude: 930.65
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;7.225806;293.6;28.941935;22.269677;17.941935;82.306452;5.1;.843011;-22.126273;-45.043327;930.65
2020-02-29;7.816092;375.8;27.151724;21.471034;18.041379;86.931034;5.1;.866667;-22.126273;-45.043327;930.65
2020-03-31;5.010753;122.2;28.432258;20.652;15.2;76.959677;9.3;.821505;-22.126273;-45.043327;930.65
2020-04-30;4.180556;14.1;27.113333;19.042667;13.093333;76.95;3.1;.611272;-22.126273;-45.043327;930.65
2020-05-31;null;null;null;null;null;null;null;null;-22.126273;-45.043327;930.65
2020-06-30;4.132353;18.2;24.773333;16.021333;9.766667;81.866667;6.17328;.588748;-22.126273;-45.043327;930.65
2020-07-31;2.814607;.2;25.567742;15.538065;8.412903;76.346774;4.11552;.654233;-22.126273;-45.043327;930.65
2020-08-31;2.709677;13;26.412903;16.19871;7.877419;66.903226;3.08664;.685765;-22.126273;-45.043327;930.65
2020-09-30;3.263889;38.2;30.746667;20.892;12.466667;58.575;3.60108;.645748;-22.126273;-45.043327;930.65
2020-10-31;6.524194;44.7;29.470968;21.629333;16.073333;69.58871;4.11552;.940828;-22.126273;-45.043327;930.65
2020-11-30;null;null;null;null;null;null;null;null;-22.126273;-45.043327;930.65
2020-12-31;8.145161;353.2;28.277419;21.745806;17.76129;83.725806;8.23104;.818368;-22.126273;-45.043327;930.65

