Nome: TERESOPOLIS
Codigo Estacao: 83744
Latitude: -22.41722221
Longitude: -42.97222221
Altitude: 874.2
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;null;248.6;27.503226;null;19.241935;null;null;null;-22.41722221;-42.97222221;874.2
2020-02-29;null;376.5;26.655172;null;19.358621;null;null;null;-22.41722221;-42.97222221;874.2
2020-03-31;null;null;null;null;null;null;null;null;-22.41722221;-42.97222221;874.2
2020-04-30;null;null;null;null;null;null;null;null;-22.41722221;-42.97222221;874.2
2020-05-31;null;null;null;null;null;null;null;null;-22.41722221;-42.97222221;874.2
2020-06-30;null;null;null;null;null;null;null;null;-22.41722221;-42.97222221;874.2
2020-07-31;null;1.3;23.422222;null;13.496429;null;null;null;-22.41722221;-42.97222221;874.2
2020-08-31;null;59.6;23.125806;null;12.793548;null;null;null;-22.41722221;-42.97222221;874.2
2020-09-30;null;64.8;27.817857;null;16.172414;null;null;null;-22.41722221;-42.97222221;874.2
2020-10-31;null;null;null;null;null;null;null;null;-22.41722221;-42.97222221;874.2
2020-11-30;null;null;null;null;null;null;null;null;-22.41722221;-42.97222221;874.2
2020-12-31;null;312.7;27.283871;null;19.116129;null;null;null;-22.41722221;-42.97222221;874.2

