Nome: LONDRINA
Codigo Estacao: 83766
Latitude: -23.32555554
Longitude: -51.14166666
Altitude: 566.46
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,527273;null;30,718519;25,256296;21,614815;null;3;,472727;-23.32555554;-51.14166666;566.46
2020-02-29;6,747126;151,1;30,503448;24,510345;20,337931;74,482759;4;,91954;-23.32555554;-51.14166666;566.46
2020-03-31;4,397849;86,6;31,890323;24,8;19,193548;63,379032;3;,83871;-23.32555554;-51.14166666;566.46
2020-04-30;2,077778;33,9;29,846667;22,286667;16,38;61,9;3;,804444;-23.32555554;-51.14166666;566.46
2020-05-31;3,290323;48,5;26,083871;18,850323;13,277419;66,693548;5;,593548;-23.32555554;-51.14166666;566.46
2020-06-30;5,4;105,5;25,58;19,658667;15,36;78,341667;5;,566667;-23.32555554;-51.14166666;566.46
2020-07-31;3,247312;8,7;26,122581;19,07871;13,696774;68,056452;3;,752688;-23.32555554;-51.14166666;566.46
2020-08-31;3,637097;191,7;25,890323;19,065806;13,716129;66,870968;3,08664;,674546;-23.32555554;-51.14166666;566.46
2020-09-30;5,833333;6,9;33,173333;25,146667;18,453333;52,308333;3,08664;1,006016;-23.32555554;-51.14166666;566.46
2020-10-31;7,096774;50,6;32,903226;25,172903;19,270968;57,564516;3,08664;1,006513;-23.32555554;-51.14166666;566.46
2020-11-30;null;null;null;null;null;null;null;null;-23.32555554;-51.14166666;566.46
2020-12-31;7,069892;153,2;31,083871;24,846452;20,522581;73,435484;5,1444;,893204;-23.32555554;-51.14166666;566.46

