Nome: MARINGA
Codigo Estacao: 83767
Latitude: -23.4
Longitude: -51.91666666
Altitude: 542
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,089744;170;30,003226;25,233548;21,283871;74,580645;5;1,269231;-23.4;-51.91666666;542
2020-02-29;5,8;171;30,986207;25,310345;20,748276;69,672414;5;1,578667;-23.4;-51.91666666;542
2020-03-31;3,45679;36,6;31,445161;25,41871;20,13871;58,048387;5,4;1,662963;-23.4;-51.91666666;542
2020-04-30;2,233333;38,2;28,956667;22,667333;17,51;58,275;5;1,766667;-23.4;-51.91666666;542
2020-05-31;3,021505;61,3;25,790323;19,440645;14,445161;62,822581;6;1,602151;-23.4;-51.91666666;542
2020-06-30;5,066667;160,2;25,937931;20,404;16,456667;73,325;8;2,033333;-23.4;-51.91666666;542
2020-07-31;4,131868;26,2;26,212903;19,768387;15,16129;62,556452;5,3;1,851648;-23.4;-51.91666666;542
2020-08-31;3,185065;186,8;26,451613;20,392258;15,635484;58,875;6,17328;1,949738;-23.4;-51.91666666;542
2020-09-30;3,371212;10,6;32,976667;26,051333;20,396667;45,948276;4,11552;1,855102;-23.4;-51.91666666;542
2020-10-31;4,32971;155,8;32,719355;25,832903;20,077419;54,177419;4,11552;1,819179;-23.4;-51.91666666;542
2020-11-30;null;null;null;null;null;null;null;null;-23.4;-51.91666666;542
2020-12-31;5,807692;208,5;30,46129;25,110323;20,922581;71,096774;4,11552;1,772839;-23.4;-51.91666666;542

