Nome: SAO PAULO(MIR.de SANTANA)
Codigo Estacao: 83781
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.16
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8.136986;287.4;28.503226;23.214194;19.383871;75.241935;7.8;2.367123;-23.49638888;-46.61999999;785.16
2020-02-29;8.857143;505.7;27.010345;22.578261;19.526087;83.5;5;2.494805;-23.49638888;-46.61999999;785.16
2020-03-31;7.410714;null;27.826087;21.89913;18.173913;74.532609;5.1444;2.629962;-23.49638888;-46.61999999;785.16
2020-04-30;null;null;null;null;null;null;null;null;-23.49638888;-46.61999999;785.16
2020-05-31;null;null;null;null;null;null;null;null;-23.49638888;-46.61999999;785.16
2020-06-30;null;null;null;null;null;null;null;null;-23.49638888;-46.61999999;785.16
2020-07-31;null;null;null;null;null;null;null;null;-23.49638888;-46.61999999;785.16
2020-08-31;null;null;null;null;null;null;null;null;-23.49638888;-46.61999999;785.16
2020-09-30;null;null;null;null;null;null;null;null;-23.49638888;-46.61999999;785.16
2020-10-31;null;null;null;null;null;null;null;null;-23.49638888;-46.61999999;785.16
2020-11-30;null;null;null;null;null;null;null;null;-23.49638888;-46.61999999;785.16
2020-12-31;null;null;null;null;null;null;null;null;-23.49638888;-46.61999999;785.16

