Nome: CASTRO
Codigo Estacao: 83813
Latitude: -24.78694444
Longitude: -49.99916666
Altitude: 994.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8,240741;null;27,340741;21,305185;17,585185;null;3;,962963;-24.78694444;-49.99916666;994.68
2020-02-29;7,525;null;26,388;20,5712;16,7;null;3;1,140578;-24.78694444;-49.99916666;994.68
2020-03-31;5,903846;null;27,884615;19,968462;15,196154;null;2;,980769;-24.78694444;-49.99916666;994.68
2020-04-30;5,039216;null;25,711538;16,966154;12,019231;null;2;,557692;-24.78694444;-49.99916666;994.68
2020-05-31;5,066038;null;22,4;13,396923;7,746154;null;3;,54717;-24.78694444;-49.99916666;994.68
2020-06-30;7;null;21,423077;15,231538;11,119231;null;2;,705882;-24.78694444;-49.99916666;994.68
2020-07-31;4,836735;null;21,603704;12,982222;7,537037;null;3;,425926;-24.78694444;-49.99916666;994.68
2020-08-31;6,045918;null;21,676923;13,8088;8,24;null;3,08664;,395723;-24.78694444;-49.99916666;994.68
2020-09-30;7,156863;null;26,811538;18,253077;12,584615;null;3,08664;,850805;-24.78694444;-49.99916666;994.68
2020-10-31;6,550926;71,7;27,181481;19,264444;13,666667;null;4,11552;1,276573;-24.78694444;-49.99916666;994.68
2020-11-30;null;null;null;null;null;null;null;null;-24.78694444;-49.99916666;994.68
2020-12-31;8,240741;93,7;26,403704;20,451111;16,42963;null;4,11552;1,038407;-24.78694444;-49.99916666;994.68

