Nome: IRATI
Codigo Estacao: 83836
Latitude: -25.502846
Longitude: -50.637609
Altitude: 881.69
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8.215054;206.9;27.4;21.19871;17.164516;84.629032;5.3;1.649462;-25.502846;-50.637609;881.69
2020-02-29;6.977011;81.2;27.403448;20.715862;16.482759;81.258621;5;2.017241;-25.502846;-50.637609;881.69
2020-03-31;5.537634;46.4;27.73871;19.67871;14.63871;76.903226;4.8;1.802151;-25.502846;-50.637609;881.69
2020-04-30;4.655556;39.7;25.243333;16.46;10.896667;74.758333;4.3;1.55;-25.502846;-50.637609;881.69
2020-05-31;4.258065;93.9;21.816129;13.341935;8.051613;80.814516;5.6;1.262366;-25.502846;-50.637609;881.69
2020-06-30;6.977778;152.1;20.58;15.241333;11.68;87.608333;7.5;1.746667;-25.502846;-50.637609;881.69
2020-07-31;5.473118;64.9;20.383871;13.267742;8.419355;84.185484;5.6;1.535484;-25.502846;-50.637609;881.69
2020-08-31;4.277778;207.3;21.23871;13.565806;8.577419;82.854839;4.62996;1.496761;-25.502846;-50.637609;881.69
2020-09-30;7.542135;56.5;26.366667;18.608;13.573333;75.675;5.65884;1.863416;-25.502846;-50.637609;881.69
2020-10-31;5.860215;111.2;26.987097;19.164516;13.848387;75.008065;5.65884;2.119269;-25.502846;-50.637609;881.69
2020-11-30;null;null;null;null;null;null;null;null;-25.502846;-50.637609;881.69
2020-12-31;7.567204;225.1;26.683871;20.774194;16.951613;84.016129;5.65884;2.118608;-25.502846;-50.637609;881.69

