Nome: CURITIBA
Codigo Estacao: 83842
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 923.5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;null;null;null;null;null;null;null;null;-25.4486111;-49.23055554;923.5
2020-02-29;8.115;null;25.592;20.3448;17.48;null;null;null;-25.4486111;-49.23055554;923.5
2020-03-31;7.153846;null;27.261538;20.023846;16.007692;null;null;null;-25.4486111;-49.23055554;923.5
2020-04-30;5.480769;null;25.076923;17.826923;13.638462;null;null;null;-25.4486111;-49.23055554;923.5
2020-05-31;4.867925;null;22.265385;15.064615;10.680769;null;null;null;-25.4486111;-49.23055554;923.5
2020-06-30;7;null;21.338462;16.163846;12.876923;null;null;null;-25.4486111;-49.23055554;923.5
2020-07-31;5.554545;null;21.125926;14.420741;10.075;null;null;null;-25.4486111;-49.23055554;923.5
2020-08-31;5.461538;null;21.892308;14.731429;10.142857;null;null;null;-25.4486111;-49.23055554;923.5
2020-09-30;7.860577;null;26.176923;18.643636;13.75;null;null;null;-25.4486111;-49.23055554;923.5
2020-10-31;6.689815;97.2;26.211111;19.393913;15.273913;null;null;null;-25.4486111;-49.23055554;923.5
2020-11-30;null;null;null;null;null;null;null;null;-25.4486111;-49.23055554;923.5
2020-12-31;7.893519;78.7;26.766667;20.941739;17.347826;null;null;null;-25.4486111;-49.23055554;923.5

