Nome: SOROCABA
Codigo Estacao: 83851
Latitude: -23.47999999
Longitude: -47.42666666
Altitude: 597.58
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;null;null;30.355556;24.302353;19.968421;73.058824;2;null;-23.47999999;-47.42666666;597.58
2020-02-29;8.678571;326.3;29.05;23.646429;20.189286;82.392857;2;.607143;-23.47999999;-47.42666666;597.58
2020-03-31;3.153846;130.7;29.667742;22.730968;17.922581;75.08871;4;.784615;-23.47999999;-47.42666666;597.58
2020-04-30;1.520833;5.4;27.366667;20.366667;14.573333;76.833333;3.08664;1.285619;-23.47999999;-47.42666666;597.58
2020-05-31;null;null;25.177778;18.701176;13.555556;77;2.05776;null;-23.47999999;-47.42666666;597.58
2020-06-30;null;null;null;null;null;null;null;null;-23.47999999;-47.42666666;597.58
2020-07-31;null;null;null;null;null;null;null;null;-23.47999999;-47.42666666;597.58
2020-08-31;null;null;null;null;null;null;null;null;-23.47999999;-47.42666666;597.58
2020-09-30;null;null;null;null;null;null;null;null;-23.47999999;-47.42666666;597.58
2020-10-31;null;null;null;null;null;null;null;null;-23.47999999;-47.42666666;597.58
2020-11-30;null;null;31.117647;23.727059;18.223529;72.235294;2;null;-23.47999999;-47.42666666;597.58
2020-12-31;8.511111;null;31.204545;24.484545;20.045455;79.818182;2;.555556;-23.47999999;-47.42666666;597.58

