Nome: SAO LUIZ GONZAGA
Codigo Estacao: 83907
Latitude: -28.41722221
Longitude: -54.9625
Altitude: 245.49
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;4,784946;244,7;32,641935;26,194839;20,980645;66,572581;5,5;2,456989;-28.41722221;-54.9625;245.49
2020-02-29;3,241379;94,6;31,351724;24,888966;19,4;66,517241;5,6;2,402299;-28.41722221;-54.9625;245.49
2020-03-31;1,869565;null;34,154545;26,322727;19,908696;57,113636;5,1;2,334783;-28.41722221;-54.9625;245.49
2020-04-30;2,494382;56,1;28,13;20,426667;14,703333;59,85;4,8;2,22809;-28.41722221;-54.9625;245.49
2020-05-31;null;null;null;null;null;null;null;null;-28.41722221;-54.9625;245.49
2020-06-30;null;null;null;null;null;null;null;null;-28.41722221;-54.9625;245.49
2020-07-31;null;null;null;null;null;null;null;null;-28.41722221;-54.9625;245.49
2020-08-31;null;null;null;null;null;null;null;null;-28.41722221;-54.9625;245.49
2020-09-30;null;null;null;null;null;null;null;null;-28.41722221;-54.9625;245.49
2020-10-31;null;null;null;null;null;null;null;null;-28.41722221;-54.9625;245.49
2020-11-30;null;null;null;null;null;null;null;null;-28.41722221;-54.9625;245.49
2020-12-31;3,75;161,1;32,53871;25,494839;19,577419;61,274194;8,23104;2,771338;-28.41722221;-54.9625;245.49

