Nome: CRUZ ALTA
Codigo Estacao: 83912
Latitude: -28.6261111
Longitude: -53.61388888
Altitude: 475.52
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;4.740741;null;29.814815;23.924444;19.622222;null;4;2.055556;-28.6261111;-53.61388888;475.52
2020-02-29;2.905;null;29.22;23.1848;18.576;null;3;1.965155;-28.6261111;-53.61388888;475.52
2020-03-31;2.346154;null;31.961538;24.378462;18.861538;null;3;1.846154;-28.6261111;-53.61388888;475.52
2020-04-30;2.365385;null;25.903846;18.636154;13.215385;null;4;1.923077;-28.6261111;-53.61388888;475.52
2020-05-31;3.867925;null;22.212;15.432308;11.124;null;3;1.660377;-28.6261111;-53.61388888;475.52
2020-06-30;5.784314;null;null;null;null;null;5;1.960784;-28.6261111;-53.61388888;475.52
2020-07-31;4.94;null;null;null;null;null;5;1.574074;-28.6261111;-53.61388888;475.52
2020-08-31;3.975962;null;20.757895;14.515294;10.364706;null;4.11552;1.819771;-28.6261111;-53.61388888;475.52
2020-09-30;5.384615;null;24.492308;17.693077;12.596154;null;4.11552;1.998402;-28.6261111;-53.61388888;475.52
2020-10-31;4.398148;59;27.7;20.459259;15.207407;null;7.20216;2.362613;-28.6261111;-53.61388888;475.52
2020-11-30;null;null;null;null;null;null;null;null;-28.6261111;-53.61388888;475.52
2020-12-31;4.00463;133.6;30.374074;23.660741;18.055556;null;4.11552;1.962493;-28.6261111;-53.61388888;475.52

