Nome: PASSO FUNDO
Codigo Estacao: 83914
Latitude: -28.2286111
Longitude: -52.41194444
Altitude: 684.05
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6.129032;226.7;28.083871;22.296129;17.612903;71.959677;7;3.196774;-28.2286111;-52.41194444;684.05
2020-02-29;4.712644;84.8;27.875862;21.443448;16.57931;68.775862;8.3;3.150575;-28.2286111;-52.41194444;684.05
2020-03-31;3.612903;19.2;29.719355;22.31871;16.648387;60.427419;8.3;2.784946;-28.2286111;-52.41194444;684.05
2020-04-30;3.344444;40.6;24.57;17.386667;12.123333;61.391667;7.5;2.942222;-28.2286111;-52.41194444;684.05
2020-05-31;3.989247;141.2;21.190323;14.290323;9.570968;69.395161;8;2.935484;-28.2286111;-52.41194444;684.05
2020-06-30;5.850575;171.3;19.75;14.625714;11.355172;79.357143;10.8;4.105747;-28.2286111;-52.41194444;684.05
2020-07-31;5.329861;null;19.244;13.2624;9.396;76.25;6.68772;3.427283;-28.2286111;-52.41194444;684.05
2020-08-31;3.735955;97;21.783871;14.823333;10.436667;68.91129;9.25992;3.401942;-28.2286111;-52.41194444;684.05
2020-09-30;6.162791;97.9;24.19;17.588667;12.853333;71.141667;9.77436;3.521056;-28.2286111;-52.41194444;684.05
2020-10-31;4.722222;47.4;27.458065;19.631613;14.06129;60.137097;7.7166;3.164083;-28.2286111;-52.41194444;684.05
2020-11-30;null;null;null;null;null;null;null;null;-28.2286111;-52.41194444;684.05
2020-12-31;6.021505;130.6;28.822581;22.183226;17.164516;67.024194;7.7166;3.025792;-28.2286111;-52.41194444;684.05

