Nome: LAGOA VERMELHA
Codigo Estacao: 83916
Latitude: -28.22249999
Longitude: -51.51277777
Altitude: 833.73
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,870968;176,9;27,458065;21,36;16,448387;74,064516;null;null;-28.22249999;-51.51277777;833.73
2020-02-29;5,724138;104;27,462069;20,771724;15,844828;69,362069;null;null;-28.22249999;-51.51277777;833.73
2020-03-31;4,677419;17,2;28,525806;21,376129;15,412903;64,41129;null;null;-28.22249999;-51.51277777;833.73
2020-04-30;4,077778;41,8;23,51;16,615333;11,143333;68,933333;null;null;-28.22249999;-51.51277777;833.73
2020-05-31;4,483871;154,7;20,409677;13,983871;8,906452;70,806452;null;null;-28.22249999;-51.51277777;833.73
2020-06-30;6,633333;207,5;19,11;13,860667;9,96;83,666667;null;null;-28.22249999;-51.51277777;833.73
2020-07-31;6,095506;225,2;18,022581;12,035484;7,880645;80,346774;null;null;-28.22249999;-51.51277777;833.73
2020-08-31;4,644886;88,3;21,558065;14,547097;9,483871;72,306452;null;null;-28.22249999;-51.51277777;833.73
2020-09-30;7,064607;113,1;23,443333;17,014;12,12;74,075;null;null;-28.22249999;-51.51277777;833.73
2020-10-31;5,686813;38,4;26,164516;18,816667;12,963333;64,645161;null;null;-28.22249999;-51.51277777;833.73
2020-11-30;null;null;null;null;null;null;null;null;-28.22249999;-51.51277777;833.73
2020-12-31;6,626344;106,4;27,86129;21,2;16,051613;71,766129;null;null;-28.22249999;-51.51277777;833.73

