Nome: BOM JESUS
Codigo Estacao: 83919
Latitude: -28.66944443
Longitude: -50.44194444
Altitude: 1048.59
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,763441;192,3;25,793548;19,709677;15,116129;75,290323;3,2;1,182796;-28.66944443;-50.44194444;1048.59
2020-02-29;4,62069;81,8;25,158621;18,73931;14,110345;74,413793;1,8;1,104598;-28.66944443;-50.44194444;1048.59
2020-03-31;3,322581;14,4;26,825806;19,345161;14,145161;68,862903;1,8;1,116129;-28.66944443;-50.44194444;1048.59
2020-04-30;4,2;53,2;21,62;14,961333;9,86;72,733333;3,4;1,142222;-28.66944443;-50.44194444;1048.59
2020-05-31;3,989247;89,1;19,903226;12,925161;7,425806;72,064516;2,8;1,139785;-28.66944443;-50.44194444;1048.59
2020-06-30;5,433333;123,5;17,9;12,581333;8,346667;82,133333;2,8;1,153333;-28.66944443;-50.44194444;1048.59
2020-07-31;5,021505;411,7;16,277419;10,294194;5,574194;81,959677;3,8;1,122581;-28.66944443;-50.44194444;1048.59
2020-08-31;2,902778;74,5;20,716129;13,397419;8,116129;71,685484;2,05776;1,070672;-28.66944443;-50.44194444;1048.59
2020-09-30;5,561798;121,5;21,58;15,066667;10,753333;78,108333;2,05776;1,188928;-28.66944443;-50.44194444;1048.59
2020-10-31;3,991935;56,5;23,941935;16,809677;11,53871;72,33871;5,1444;1,421625;-28.66944443;-50.44194444;1048.59
2020-11-30;null;null;null;null;null;null;null;null;-28.66944443;-50.44194444;1048.59
2020-12-31;5,94086;110,8;25,354839;18,770323;14,490323;76,322581;2,5722;1,161639;-28.66944443;-50.44194444;1048.59

