Nome: SANTA MARIA
Codigo Estacao: 83936
Latitude: -29.724796
Longitude: -53.720465
Altitude: 103.1
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5,419355;285,2;30,935484;24,847742;20,251613;75,032258;6,1;2,270652;-29.724796;-53.720465;103.1
2020-02-29;3,902299;57,2;30,37931;23,918621;18,710345;72,965517;5;2,064866;-29.724796;-53.720465;103.1
2020-03-31;3,849462;39,8;32,212903;24,334194;18,270968;68,306452;5;1,921505;-29.724796;-53.720465;103.1
2020-04-30;3,855556;35,7;26,88;18,878667;13,08;72,65;4,1;1,681111;-29.724796;-53.720465;103.1
2020-05-31;4,44086;222,8;22,516129;15,36129;10,664516;81,475806;5;1,351613;-29.724796;-53.720465;103.1
2020-06-30;6,355556;167,7;20,706667;15,810667;11,726667;82,833333;10;2,22;-29.724796;-53.720465;103.1
2020-07-31;5,013587;138,7;18,741935;12,872258;9,045161;83,266129;7,20216;1,967857;-29.724796;-53.720465;103.1
2020-08-31;4,763889;62,9;22,567742;15,615484;11,03871;80,112903;7,20216;2,074355;-29.724796;-53.720465;103.1
2020-09-30;7,013889;166,3;21,58;16,34;12,266667;84,433333;5,65884;2,223524;-29.724796;-53.720465;103.1
2020-10-31;5,604839;64,4;25,76129;19,346452;14,374194;73,282258;6,17328;2,660706;-29.724796;-53.720465;103.1
2020-11-30;null;null;null;null;null;null;null;null;-29.724796;-53.720465;103.1
2020-12-31;4,704301;73,6;30,032258;23,745806;18,490323;69,233871;5,1444;2,365306;-29.724796;-53.720465;103.1

