Nome: CAXIAS DO SUL
Codigo Estacao: 83942
Latitude: -29.196242
Longitude: -51.186449
Altitude: 750.16
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;6,021505;154,7;27,180645;21,579355;17,774194;75,112903;5;1,784946;-29.196242;-51.186449;750.16
2020-02-29;4,481481;null;26,823077;20,872308;17,261538;null;5;1,58572;-29.196242;-51.186449;750.16
2020-03-31;3,666667;10,7;27,993548;21,48129;17,348387;70,258065;8;1,698925;-29.196242;-51.186449;750.16
2020-04-30;4,377778;29,9;22,72;16,950667;13,08;70,133333;7;2,011111;-29.196242;-51.186449;750.16
2020-05-31;4,408602;146,1;20,03871;14,578065;11,116129;70,620968;7;1,770968;-29.196242;-51.186449;750.16
2020-06-30;5,988889;188,3;18,673333;14,162667;10,773333;79,125;5;2,044444;-29.196242;-51.186449;750.16
2020-07-31;5,707831;398,8;17,096774;12,049032;8,729032;76,887097;7,20216;1,812816;-29.196242;-51.186449;750.16
2020-08-31;3,900602;115,3;21,264516;14,68;10,812903;70,516129;5,1444;1,703737;-29.196242;-51.186449;750.16
2020-09-30;6,596386;142,9;22,1;15,989333;12,18;78,208333;5,1444;2,069192;-29.196242;-51.186449;750.16
2020-10-31;5,201149;68,5;24,326667;17,732667;13,545161;74,183333;5,1444;2,169595;-29.196242;-51.186449;750.16
2020-11-30;null;null;null;null;null;null;null;null;-29.196242;-51.186449;750.16
2020-12-31;5,806452;136,1;26,535484;20,600645;16,783871;75,040323;5,1444;1,858622;-29.196242;-51.186449;750.16

