Nome: CAMBARA DO SUL
Codigo Estacao: 83946
Latitude: -29.049139
Longitude: -50.149631
Altitude: 1015.97
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;8.053763;370.4;25.13871;18.798065;14.396774;90.685484;3;1.043011;-29.049139;-50.149631;1015.97
2020-02-29;6.931034;86.2;24.251724;17.951724;13.482759;88.301724;3;1.091954;-29.049139;-50.149631;1015.97
2020-03-31;6.376344;22.6;25.445161;18.365806;13.409677;86.620968;1;1;-29.049139;-50.149631;1015.97
2020-04-30;6.6;44.6;21.2;14.546;9.756667;86.75;9;1.4;-29.049139;-50.149631;1015.97
2020-05-31;6.505376;79.5;19.519355;12.78129;7.874194;84.383333;7;1.451613;-29.049139;-50.149631;1015.97
2020-06-30;7.666667;184.5;18.226667;12.582;8.573333;89.475;5;1.422222;-29.049139;-50.149631;1015.97
2020-07-31;7.258065;499.8;16.558065;10.399355;5.83871;88.443548;9;1.408602;-29.049139;-50.149631;1015.97
2020-08-31;null;null;null;null;null;null;null;null;-29.049139;-50.149631;1015.97
2020-09-30;null;null;null;null;null;null;null;null;-29.049139;-50.149631;1015.97
2020-10-31;null;null;null;null;null;null;null;null;-29.049139;-50.149631;1015.97
2020-11-30;null;null;null;null;null;null;null;null;-29.049139;-50.149631;1015.97
2020-12-31;null;null;null;null;null;null;null;null;-29.049139;-50.149631;1015.97

