Nome: ENCRUZILHADA DO SUL
Codigo Estacao: 83964
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;4.602151;125.5;null;null;18.43871;70.209677;null;null;-30.54305555;-52.52472221;427.75
2020-02-29;2.28;null;null;null;17.628;null;null;null;-30.54305555;-52.52472221;427.75
2020-03-31;3.354839;28.8;null;null;18.087097;66.08871;null;null;-30.54305555;-52.52472221;427.75
2020-04-30;3.483146;39.5;null;null;13.76;67.125;null;null;-30.54305555;-52.52472221;427.75
2020-05-31;3.586207;null;null;null;11.248148;null;null;null;-30.54305555;-52.52472221;427.75
2020-06-30;6.235294;null;null;null;10.753846;null;null;null;-30.54305555;-52.52472221;427.75
2020-07-31;3.962264;128.8;null;null;7.030435;null;null;null;-30.54305555;-52.52472221;427.75
2020-08-31;3.617021;null;null;null;10.345833;null;null;null;-30.54305555;-52.52472221;427.75
2020-09-30;5.260417;null;null;null;10.813043;null;null;null;-30.54305555;-52.52472221;427.75
2020-10-31;4.834906;74;null;null;12.473913;null;null;null;-30.54305555;-52.52472221;427.75
2020-11-30;null;null;null;null;null;null;null;null;-30.54305555;-52.52472221;427.75
2020-12-31;4.918478;70.1;null;null;16.7;70.5;null;null;-30.54305555;-52.52472221;427.75

