Nome: PORTO ALEGRE
Codigo Estacao: 83967
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.817204;72.8;31.625806;25.458065;20.948387;70.258065;5;2.423656;-30.05361111;-51.17472221;41.18
2020-02-29;4.58046;84.7;31.658621;24.924828;20.296552;68.844828;5.1;2.305096;-30.05361111;-51.17472221;41.18
2020-03-31;3.88172;22.9;31.306452;24.588387;19.796774;70.903226;3.8;2.145161;-30.05361111;-51.17472221;41.18
2020-04-30;4.766667;27.9;26.606667;20.371333;16.056667;71.858333;5.5;2.013333;-30.05361111;-51.17472221;41.18
2020-05-31;4.548387;127.7;23.067742;16.67871;12.36129;76.629032;4.5;1.56129;-30.05361111;-51.17472221;41.18
2020-06-30;6.788889;201.6;21.61;16.372;12.73;81.35;3.8;1.577778;-30.05361111;-51.17472221;41.18
2020-07-31;5.577957;298.7;19.4;13.617419;10.03871;81.258065;4.62996;1.660735;-30.05361111;-51.17472221;41.18
2020-08-31;4.569892;78;23.203226;16.148387;11.787097;77.008065;3.08664;1.410561;-30.05361111;-51.17472221;41.18
2020-09-30;6.458333;224.6;22.223333;17.163333;13.59;81.866667;4.62996;1.926292;-30.05361111;-51.17472221;41.18
2020-10-31;5.739247;101.6;25.070968;19.508387;15.574194;76.798387;4.62996;1.940842;-30.05361111;-51.17472221;41.18
2020-11-30;null;null;null;null;null;null;null;null;-30.05361111;-51.17472221;41.18
2020-12-31;4.744624;123.3;30.029032;24.186452;19.864516;70.58871;4.11552;1.925001;-30.05361111;-51.17472221;41.18

