Nome: BAGE
Codigo Estacao: 83980
Latitude: -31.30555555
Longitude: -54.11944443
Altitude: 245.66
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;4.215054;157.5;30.506452;23.525806;16.677419;63.830645;7;2.580645;-31.30555555;-54.11944443;245.66
2020-02-29;2.942529;33.1;30.234483;22.835862;15.896552;61.387931;7;3.022989;-31.30555555;-54.11944443;245.66
2020-03-31;3.301075;12.8;32.335484;23.74129;16.9;62.693548;7;2.709677;-31.30555555;-54.11944443;245.66
2020-04-30;4.166667;77.2;25.906897;18.152667;12.19;65.35;7;2.755556;-31.30555555;-54.11944443;245.66
2020-05-31;4.135593;null;21.32963;14.551852;9.466667;null;7;2.169492;-31.30555555;-54.11944443;245.66
2020-06-30;6.254902;null;19.334615;14.650769;10.842308;null;7;2.196078;-31.30555555;-54.11944443;245.66
2020-07-31;4.685185;null;17.133333;11.495556;7.137037;null;7;2.648148;-31.30555555;-54.11944443;245.66
2020-08-31;4.100962;null;23.223077;15.946;11.275;null;7.20216;2.10667;-31.30555555;-54.11944443;245.66
2020-09-30;6.25;null;21.546154;16.671818;11.554545;null;7.20216;2.31498;-31.30555555;-54.11944443;245.66
2020-10-31;5.731132;52.8;24.351852;17.664348;12.013043;null;7.20216;2.819893;-31.30555555;-54.11944443;245.66
2020-11-30;null;null;null;null;null;null;null;null;-31.30555555;-54.11944443;245.66
2020-12-31;3.233696;118;29.409677;22.355333;14.9;62.008065;7.20216;3.109007;-31.30555555;-54.11944443;245.66

