Nome: SANTA VITORIA DO PALMAR
Codigo Estacao: 83997
Latitude: -33.53166666
Longitude: -53.35027777
Altitude: 24.01
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;4,569892;72,6;28,125806;22,655484;18,651613;72,677419;null;null;-33.53166666;-53.35027777;24.01
2020-02-29;3,747126;37,4;27,996552;22,247586;18,034483;73,913793;null;null;-33.53166666;-53.35027777;24.01
2020-03-31;4,075269;12;28,074194;22,340645;18,429032;76,58871;null;null;-33.53166666;-53.35027777;24.01
2020-04-30;4,655556;90,6;23,813333;18,284667;14,683333;77,516667;null;null;-33.53166666;-53.35027777;24.01
2020-05-31;3,864407;null;20,937037;15,028148;11,477778;null;null;null;-33.53166666;-53.35027777;24.01
2020-06-30;5,901961;null;17,4;13,366154;10,769231;null;null;null;-33.53166666;-53.35027777;24.01
2020-07-31;5,185185;null;15,703704;10,73913;7,626087;null;null;null;-33.53166666;-53.35027777;24.01
2020-08-31;4,754808;null;18,080769;12,353333;9,361905;null;null;null;-33.53166666;-53.35027777;24.01
2020-09-30;5,697115;null;17,892308;13,475455;9,659091;null;null;null;-33.53166666;-53.35027777;24.01
2020-10-31;6,041667;57,7;20,455556;15,153043;12,317391;null;null;null;-33.53166666;-53.35027777;24.01
2020-11-30;null;null;null;null;null;null;null;null;-33.53166666;-53.35027777;24.01
2020-12-31;4,189815;17,2;27,048148;21,677391;17,221739;null;null;null;-33.53166666;-53.35027777;24.01

