data_medicao;nebulosidade;precipitacao;temperatura_maxima;temperatura_media;temperatura_minima;umidade_relativa;vento_maxima;vento_media;latitude;longitude;altitude
2020-01-31;5.174731;5.2;35.273333;28.546;24.383871;66.967742;4.11552;1.731395;2.82944443;-60.66194444;84.18
2020-02-29;5.359195;3.4;35.468966;29.008276;24.693103;60.956897;5.1444;2.176022;2.82944443;-60.66194444;84.18
2020-03-31;4.877717;2.4;36.583333;29.888276;25.513333;60.709677;5.1444;1.936065;2.82944443;-60.66194444;84.18
2020-04-30;7.083333;154.2;35.543333;29.335714;25.310345;69.8;4.11552;1.554752;2.82944443;-60.66194444;84.18
2020-05-31;7.649457;298.7;33.148387;27.843226;24.512903;81.814516;4.11552;1.017697;2.82944443;-60.66194444;84.18
2020-06-30;7.527778;351.4;32.263333;27.077333;23.76;83.541667;2.05776;0.80024;2.82944443;-60.66194444;84.18
2020-07-31;6.41129;356.5;32.919355;27.294839;24.035484;82.258065;2.05776;0.763363;2.82944443;-60.66194444;84.18
2020-08-31;7.244624;220.8;33.670968;27.828387;24.493548;79.532258;4.11552;1.017817;2.82944443;-60.66194444;84.18
2020-09-30;5.583333;48.7;35.603333;29.160667;25.03;70.025;3.08664;1.120336;2.82944443;-60.66194444;84.18
2020-10-31;5.362903;78.8;36.367742;29.545161;25.022581;67.927419;4.11552;1.353201;2.82944443;-60.66194444;84.18
2020-11-30;7.485632;175.0;34.883333;28.51931;24.834483;75.741667;4.11552;1.182621;2.82944443;-60.66194444;84.18
2020-12-31;6.639785;42.4;33.812903;28.175484;24.696774;74.532258;3.08664;1.183765;2.82944443;-60.66194444;84.18
2020-01-31;6.962366;45.2;33.63871;27.785806;23.387097;75.637097;3.08664;1.150575;1.83249999;-61.12083332;51.99
2020-02-29;6.652299;0.0;34.096552;28.26069;23.558621;68.62931;3.08664;1.478276;1.83249999;-61.12083332;51.99
2020-03-31;6.574675;39.2;35.98;29.637857;24.410345;69.25;3.08664;1.068966;1.83249999;-61.12083332;51.99
2020-04-30;7.725;111.4;32.983333;27.94087;24.896;88.0;3.08664;0.51444;1.83249999;-61.12083332;51.99
2020-05-31;7.995283;462.1;32.015385;27.058462;24.269231;93.384615;3.08664;0.446495;1.83249999;-61.12083332;51.99
2020-06-30;8.137255;377.5;31.876923;26.643478;23.638462;94.076923;2.05776;0.322786;1.83249999;-61.12083332;51.99
2020-07-31;7.662037;240.0;32.785185;26.930769;23.507692;92.384615;3.08664;0.5716;1.83249999;-61.12083332;51.99
2020-08-31;7.596154;188.8;33.307692;27.404615;24.053846;91.076923;3.08664;0.494654;1.83249999;-61.12083332;51.99
2020-09-30;6.25;64.6;34.264;28.359048;24.291304;87.346154;2.05776;0.831018;1.83249999;-61.12083332;51.99
2020-10-31;7.004717;32.0;35.059259;28.275385;24.169231;86.851852;2.05776;0.349431;1.83249999;-61.12083332;51.99
2020-11-30;7.022059;74.6;33.822222;27.56;24.051852;87.666667;3.08664;0.711138;1.83249999;-61.12083332;51.99
2020-12-31;7.204301;162.6;32.826667;27.264286;23.910345;84.870968;3.08664;1.017697;1.83249999;-61.12083332;51.99
2020-01-31;9.395161;273.5;31.045161;26.740645;24.1;84.709677;3.08664;0.995069;-0.04499999;-51.11;12.8
2020-02-29;9.497126;256.2;31.110345;26.668571;24.146429;85.146552;3.60108;1.093924;-0.04499999;-51.11;12.8
2020-03-31;9.260753;196.9;31.13871;26.823871;24.287097;84.846774;3.60108;1.017817;-0.04499999;-51.11;12.8
2020-04-30;9.353933;317.8;31.551724;27.062069;24.476667;86.12931;4.11552;0.911962;-0.04499999;-51.11;12.8
2020-05-31;8.793011;286.2;32.209677;27.618065;24.825806;84.870968;3.08664;0.794027;-0.04499999;-51.11;12.8
2020-06-30;8.736111;242.3;32.127586;27.483448;24.6;83.566667;3.60108;0.815012;-0.04499999;-51.11;12.8
